Neighborhood,Latitude,Longitude
Vinegar Hill,40.70332149882874,-73.98111603592393
Weeksville,40.67503986503237,-73.93053108817338
Broadway Junction,40.67786104769531,-73.90331684852599
Dumbo,40.70317632822692,-73.9887528074504
Manor Heights,40.60180957631444,-74.12059399718001
Willowbrook,40.60370692627371,-74.13208447484298
Sandy Ground,40.541139922091766,-74.21776636068567
Egbertville,40.579118742961214,-74.12727240604946
Roxbury,40.56737588957032,-73.89213760232822
Homecrest,40.598525095137255,-73.95918459428702
Middle Village,40.716414511158185,-73.88114319200604
Prince's Bay,40.52626406734812,-74.20152556457658
Lighthouse Hill,40.57650629379489,-74.13792663771568
Richmond Valley,40.51954145748909,-74.22957080626941
Malba,40.79060155670148,-73.82667757138641
Highland Park,40.6819989345173,-73.890345709872
Madison,40.60937770113766,-73.94841515328893
Bronxdale,40.85272297633017,-73.86172577555115
Allerton,40.86578787802982,-73.85931863221647
Kingsbridge Heights,40.8703923914147,-73.90152264513144
Erasmus,40.64692606658579,-73.94817709920184
Hudson Yards,40.75665808227519,-74.00011136202637
Hammels,40.58733774018741,-73.80553002968718
Bayswater,40.611321691283834,-73.76596781445627
Queensbridge,40.756091297094706,-73.94563070334091
Fox Hills,40.61731079252983,-74.08173992211962
