,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
49,"Regent Park, Harbourfront",43.6542599,-79.3606359,Residence & Conference Centre,43.653040000000004,-79.35704,Hotel
50,"Regent Park, Harbourfront",43.6542599,-79.3606359,FUEL+,43.653193,-79.355867,Coffee Shop
51,"Regent Park, Harbourfront",43.6542599,-79.3606359,GW General,43.650495,-79.357538,Antique Shop
52,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Roots,43.71821373389961,-79.46389305304558,Boutique
53,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Kitchen Stuff Plus (Clearance Outlet),43.71909636823933,-79.46267482419971,Furniture / Home Store
54,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Lac Vien Vietnamese Restaurant,43.72125878799614,-79.46847226859448,Vietnamese Restaurant
55,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Orfus Road Shopping Outlets,43.719045296434736,-79.46084915034818,Clothing Store
56,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Tim Hortons,43.7194274,-79.46799490000001,Coffee Shop
57,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Ardene Shoes Outlet,43.718892366644944,-79.46134358371631,Accessories Store
58,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Rinx Real Entertainment Centre,43.717842200220865,-79.46223069665501,Event Space
59,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Bluenotes,43.718846,-79.465906,Clothing Store
60,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,International Clothiers,43.717997,-79.46672,Clothing Store
61,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Suzy Shier,43.718846,-79.465906,Clothing Store
62,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Fairweather,43.71787829,-79.46724603,Women's Store
63,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Frameworth sports marketing,43.718431101584265,-79.46851256833588,Gift Shop
64,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Le Château,43.71926903,-79.46027600000001,Clothing Store
65,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Queen's Park,43.663946098977746,-79.39217952520833,Park
66,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Mercatto,43.660390911898546,-79.38766421192705,Italian Restaurant
67,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,NEO COFFEE BAR,43.66013,-79.38583,Coffee Shop
68,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Nando's,43.66172826,-79.38639146,Portuguese Restaurant
69,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,T-Swirl Crepe,43.663452,-79.384125,Creperie
70,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,The Yoga Sanctuary,43.661499497597596,-79.38363613350755,Yoga Studio
71,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tokyo Sushi,43.66588533093685,-79.38697684868161,Sushi Restaurant
72,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Central YMCA,43.663083310067655,-79.38502493214878,Distribution Center
73,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Coffee Island,43.66427089680225,-79.38697157138014,Coffee Shop
74,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Bar Volo,43.66546184849369,-79.3856915831566,Beer Bar
75,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Como En Casa,43.66516,-79.384796,Mexican Restaurant
76,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Starbucks,43.65945605353152,-79.39041123272169,Coffee Shop
77,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,401 Games,43.66362327785325,-79.3840374323983,Hobby Shop
78,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Coach House Restaurant,43.664990598532036,-79.38481415727767,Diner
79,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Hart House Theatre,43.66357134217992,-79.3946163990837,Theater
80,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Flock Rotisserie + Greens,43.659167,-79.389475,Fried Chicken Joint
81,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Crown Princess Fine Dining 伯爵名宴,43.666454929411174,-79.38769789187712,Chinese Restaurant
82,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Starbucks,43.658204,-79.388998,Coffee Shop
83,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Booster Juice,43.65865699,-79.38868207,Smoothie Shop
84,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,RBC Royal Bank,43.65933603842843,-79.38977326176166,Bank
85,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Subway,43.658970119202614,-79.3908742539673,Sandwich Place
86,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Aroma Espresso Bar,43.658927676749364,-79.38990298985978,Café
87,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tim Hortons,43.66103820000001,-79.39379659999999,Coffee Shop
88,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Starbucks,43.660887,-79.39372,Coffee Shop
89,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Hart House Gym,43.66417202442517,-79.39488839857403,Gym
90,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tim Hortons,43.659414899999994,-79.3912214,Coffee Shop
91,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,SUDS,43.65988035580764,-79.39471219966202,Bar
92,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Convocation Hall,43.66082829233904,-79.39524545662506,College Auditorium
93,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tim Hortons,43.658906200000004,-79.38869609999999,Coffee Shop
94,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Understudy Café at Gerstein,43.66230805386788,-79.39409796741381,College Cafeteria
95,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Gallery Grill,43.663841,-79.39430899999999,Restaurant
96,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Hart House Music Room,43.66375812916738,-79.39502654389076,Music Venue
97,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,University of Toronto Arts Centre,43.66360538340077,-79.39515929235344,Art Gallery
98,"Malvern, Rouge",43.8066863,-79.19435340000003,Wendy’s,43.807448419347566,-79.19905558052072,Fast Food Restaurant
99,Don Mills,43.7459058,-79.352188,Island Foods,43.74586607398898,-79.34603533317939,Caribbean Restaurant
100,Don Mills,43.7459058,-79.352188,Baretto Caffé,43.74445646349851,-79.34645978471785,Café
101,Don Mills,43.7459058,-79.352188,LA Fitness,43.74766522888878,-79.34707696065234,Gym
102,Don Mills,43.7459058,-79.352188,Gonoe Sushi,43.74573681959921,-79.34599119916211,Japanese Restaurant
103,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Jawny Bakers,43.705782646822,-79.31291304477831,Gastropub
104,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,East York Gymnastics,43.710654,-79.309279,Gym / Fitness Center
105,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Shoppers Drug Mart,43.705933,-79.312825,Pharmacy
106,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,TD Canada Trust,43.70573988375594,-79.31227013468738,Bank
107,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Pizza Pizza,43.70515901620182,-79.31312955571528,Pizza Place
108,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Rise & Dine Eatery,43.705769000000004,-79.311638,Breakfast Spot
109,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,East York Animal Clinic,43.70592051370348,-79.3121958344716,Pet Store
110,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,St. Clair Ave E & O'Connor Dr,43.705232834483006,-79.31327432821827,Intersection
111,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Venice Pizza,43.70592051370348,-79.31395663414658,Pizza Place
112,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,91 Woodbine Bus (south),43.707646378702705,-79.31380806795835,Bus Line
113,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,TKTO - Toronto Knife Throwing Organization,43.7099660731501,-79.31341111891098,Athletics & Sports
114,"Garden District, Ryerson",43.6571618,-79.37893709999999,UNIQLO ユニクロ,43.65591027779457,-79.38064099181345,Clothing Store
115,"Garden District, Ryerson",43.6571618,-79.37893709999999,Silver Snail Comics,43.657031379584076,-79.38140310220501,Comic Shop
116,"Garden District, Ryerson",43.6571618,-79.37893709999999,Yonge-Dundas Square,43.656053897421884,-79.38049504264389,Plaza
117,"Garden District, Ryerson",43.6571618,-79.37893709999999,Page One Cafe,43.657771611126,-79.37607256916809,Café
118,"Garden District, Ryerson",43.6571618,-79.37893709999999,Burrito Boyz,43.656265264409015,-79.3783431837677,Burrito Place
119,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hokkaido Ramen Santouka らーめん山頭火,43.65643520293576,-79.37758637997794,Ramen Restaurant
120,"Garden District, Ryerson",43.6571618,-79.37893709999999,Jazz Bistro,43.65567828473835,-79.37927565514764,Music Venue
121,"Garden District, Ryerson",43.6571618,-79.37893709999999,Blaze Pizza,43.656518,-79.380015,Pizza Place
122,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ed Mirvish Theatre,43.655101567321054,-79.37976762131545,Theater
123,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Black Canary Espresso Bar,43.65702925121356,-79.38138512728051,Café
124,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Senator Restaurant,43.65564091455336,-79.37919882575555,Diner
125,"Garden District, Ryerson",43.6571618,-79.37893709999999,Salad King,43.65760101432665,-79.38161963017174,Thai Restaurant
126,"Garden District, Ryerson",43.6571618,-79.37893709999999,Banh Mi Boys,43.659292,-79.381949,Sandwich Place
127,"Garden District, Ryerson",43.6571618,-79.37893709999999,Five Guys,43.65711651847632,-79.38085267976494,Burger Joint
128,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ryerson Athletics Centre,43.65843443942876,-79.37929610991361,College Rec Center
129,"Garden District, Ryerson",43.6571618,-79.37893709999999,Chipotle Mexican Grill,43.656859999999995,-79.38091,Mexican Restaurant
130,"Garden District, Ryerson",43.6571618,-79.37893709999999,CF Toronto Eaton Centre,43.65444692040145,-79.38095230798749,Shopping Mall
131,"Garden District, Ryerson",43.6571618,-79.37893709999999,Nordstrom,43.655041,-79.3809665,Clothing Store
132,"Garden District, Ryerson",43.6571618,-79.37893709999999,Oakham Café,43.658077944767534,-79.37831497990125,Café
133,"Garden District, Ryerson",43.6571618,-79.37893709999999,Tokyo Smoke,43.65723,-79.38087,Coffee Shop
134,"Garden District, Ryerson",43.6571618,-79.37893709999999,Samsung Experience Store (Eaton Centre),43.65564777812532,-79.38101080745759,Electronics Store
135,"Garden District, Ryerson",43.6571618,-79.37893709999999,JOEY Eaton Centre,43.656093654082795,-79.38187792357715,New American Restaurant
136,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ryerson Image Centre,43.657523371610935,-79.37945958709186,Art Gallery
137,"Garden District, Ryerson",43.6571618,-79.37893709999999,Danish Pastry House,43.654574,-79.38074,Bakery
138,"Garden District, Ryerson",43.6571618,-79.37893709999999,Solei Tanning Salon,43.65473408234762,-79.38024826065258,Tanning Salon
139,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Queen and Beaver Public House,43.65747228208784,-79.38352412327917,Gastropub
140,"Garden District, Ryerson",43.6571618,-79.37893709999999,Kinka Izakaya Original,43.66059636632362,-79.37889120754515,Japanese Restaurant
141,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hailed Coffee,43.65883296982352,-79.38368351986598,Coffee Shop
142,"Garden District, Ryerson",43.6571618,-79.37893709999999,Elgin And Winter Garden Theatres,43.65339379601959,-79.3785073962175,Theater
143,"Garden District, Ryerson",43.6571618,-79.37893709999999,Crepe Delicious,43.65453648827725,-79.38088885547485,Fast Food Restaurant
144,"Garden District, Ryerson",43.6571618,-79.37893709999999,Barberian's Steak House,43.657755129259264,-79.38217741375935,Steakhouse
145,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Grand Hotel & Suites Toronto,43.656449012077424,-79.3741100180102,Hotel
146,"Garden District, Ryerson",43.6571618,-79.37893709999999,Kinton Ramen,43.66063169500672,-79.37887964897601,Ramen Restaurant
147,"Garden District, Ryerson",43.6571618,-79.37893709999999,BMV Books,43.6570470610916,-79.3816606143166,Bookstore
148,"Garden District, Ryerson",43.6571618,-79.37893709999999,306 Yonge Street - Jordan Store,43.65649471160899,-79.38101531134684,Sporting Goods Shop
149,"Garden District, Ryerson",43.6571618,-79.37893709999999,Bourbon St. Grill,43.65513514101621,-79.3808225262395,Fast Food Restaurant
150,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Elm Tree Restaurant,43.65739749535259,-79.38376054171512,Modern European Restaurant
151,"Garden District, Ryerson",43.6571618,-79.37893709999999,Second Cup,43.65602745564191,-79.38057491935326,Coffee Shop
152,"Garden District, Ryerson",43.6571618,-79.37893709999999,Indigo,43.65351471121164,-79.38069591056922,Bookstore
153,"Garden District, Ryerson",43.6571618,-79.37893709999999,Elmwood Spa,43.657759234136705,-79.38258620521141,Spa
154,"Garden District, Ryerson",43.6571618,-79.37893709999999,MUJI,43.656024,-79.383284,Miscellaneous Shop
155,"Garden District, Ryerson",43.6571618,-79.37893709999999,SEPHORA,43.653527200000006,-79.3801543,Cosmetics Shop
156,"Garden District, Ryerson",43.6571618,-79.37893709999999,LUSH,43.653557,-79.3804,Cosmetics Shop
157,"Garden District, Ryerson",43.6571618,-79.37893709999999,Lake Devo,43.6569936860937,-79.37689788366987,Lake
158,"Garden District, Ryerson",43.6571618,-79.37893709999999,DAVIDsTEA,43.65521877547618,-79.38094518163426,Tea Room
159,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hollister Co.,43.65447966010221,-79.38091371769394,Clothing Store
160,"Garden District, Ryerson",43.6571618,-79.37893709999999,Jack Astor's Bar & Grill,43.656019399920595,-79.38032551379719,Restaurant
161,"Garden District, Ryerson",43.6571618,-79.37893709999999,Marshalls,43.659308,-79.3824621,Department Store
162,"Garden District, Ryerson",43.6571618,-79.37893709999999,Vans,43.654825509733335,-79.38024076741965,Shoe Store
163,"Garden District, Ryerson",43.6571618,-79.37893709999999,Scaddabush Italian Kitchen & Bar,43.658920292028725,-79.38289105381784,Italian Restaurant
164,"Garden District, Ryerson",43.6571618,-79.37893709999999,Citrus Restaurant & Lounge @ The Grand Hotel,43.65627304573888,-79.37422062269164,Lounge
165,"Garden District, Ryerson",43.6571618,-79.37893709999999,College Park Area,43.659453000000006,-79.383785,Park
166,"Garden District, Ryerson",43.6571618,-79.37893709999999,Cineplex Cinemas,43.656125559486135,-79.38039005666785,Movie Theater
167,"Garden District, Ryerson",43.6571618,-79.37893709999999,HomeSense,43.653053299999996,-79.37944959999999,Furniture / Home Store
168,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ethiopiques,43.656512743041546,-79.37707774884599,Ethiopian Restaurant
169,"Garden District, Ryerson",43.6571618,-79.37893709999999,GB Hand-Pulled Noodles,43.65643422548463,-79.3837827356398,Chinese Restaurant
170,"Garden District, Ryerson",43.6571618,-79.37893709999999,Red Lobster,43.656328,-79.38362099999999,Seafood Restaurant
171,"Garden District, Ryerson",43.6571618,-79.37893709999999,Panago,43.65825817735338,-79.38431282558369,Pizza Place
172,"Garden District, Ryerson",43.6571618,-79.37893709999999,Bubble Republic Tea House 奶茶黨部,43.656707495984975,-79.38416470657434,Bubble Tea Shop
173,"Garden District, Ryerson",43.6571618,-79.37893709999999,MAC Cosmetics,43.65405547492733,-79.38071368220903,Cosmetics Shop
174,"Garden District, Ryerson",43.6571618,-79.37893709999999,Magic Tailor,43.653741582288646,-79.3797452388142,Clothing Store
175,"Garden District, Ryerson",43.6571618,-79.37893709999999,Chatime 日出茶太,43.65554164147378,-79.38468427043243,Bubble Tea Shop
176,"Garden District, Ryerson",43.6571618,-79.37893709999999,Tangerine Café,43.65393690330819,-79.37972202364307,Bank
177,"Garden District, Ryerson",43.6571618,-79.37893709999999,Kabul Express,43.65669146835465,-79.37664313658586,Middle Eastern Restaurant
178,"Garden District, Ryerson",43.6571618,-79.37893709999999,EB Games,43.65529344166874,-79.38032812642463,Video Game Store
179,"Garden District, Ryerson",43.6571618,-79.37893709999999,Balzac's Coffee,43.65785440672278,-79.37919981155156,Coffee Shop
180,"Garden District, Ryerson",43.6571618,-79.37893709999999,Uncle Tetsu's Cheesecake (Uncle Tetsu's Japanese Cheesecake),43.656062872456424,-79.38369472446466,Dessert Shop
181,"Garden District, Ryerson",43.6571618,-79.37893709999999,Trattoria Mercatto,43.654453144701996,-79.38097410756741,Italian Restaurant
182,"Garden District, Ryerson",43.6571618,-79.37893709999999,Starbucks,43.65446528594945,-79.37891894388453,Coffee Shop
183,"Garden District, Ryerson",43.6571618,-79.37893709999999,Roots,43.65361341708363,-79.38024401664735,Clothing Store
184,"Garden District, Ryerson",43.6571618,-79.37893709999999,Starbucks,43.655969120455424,-79.38268426666407,Coffee Shop
185,"Garden District, Ryerson",43.6571618,-79.37893709999999,Reds Midtown Tavern,43.659128249470015,-79.38226565563254,Wine Bar
186,"Garden District, Ryerson",43.6571618,-79.37893709999999,Starbucks,43.659509,-79.382132,Coffee Shop
187,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hard Candy Fitness,43.65955618049781,-79.38244024080487,Gym / Fitness Center
188,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ryerson Square,43.65698842888605,-79.37689617296417,Other Great Outdoors
189,"Garden District, Ryerson",43.6571618,-79.37893709999999,Bath & Body Works,43.654182471380004,-79.38094783233447,Distribution Center
190,"Garden District, Ryerson",43.6571618,-79.37893709999999,Spring Sushi,43.65625252981609,-79.38065954471074,Sushi Restaurant
191,"Garden District, Ryerson",43.6571618,-79.37893709999999,Paramount Fine Foods,43.65502870847598,-79.38024513018975,Middle Eastern Restaurant
192,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hot Topic,43.65596871424236,-79.38050663269381,Clothing Store
193,"Garden District, Ryerson",43.6571618,-79.37893709999999,KAKA,43.65745745164475,-79.38419169987877,Japanese Restaurant
194,"Garden District, Ryerson",43.6571618,-79.37893709999999,Smoke's Poutinerie,43.65737935238092,-79.37345459540276,Poutine Place
195,"Garden District, Ryerson",43.6571618,-79.37893709999999,Victoria's Secret PINK,43.65335746417248,-79.3806734813237,Lingerie Store
196,"Garden District, Ryerson",43.6571618,-79.37893709999999,Urban Outfitters,43.654411078456974,-79.38005491917738,Clothing Store
197,"Garden District, Ryerson",43.6571618,-79.37893709999999,Fran's,43.65426474929814,-79.37912005538317,Diner
198,"Garden District, Ryerson",43.6571618,-79.37893709999999,Abercrombie & Fitch,43.65291548392747,-79.38049525090148,Clothing Store
199,"Garden District, Ryerson",43.6571618,-79.37893709999999,Marriott Downtown at CF Toronto Eaton Centre,43.65472844428402,-79.38242163509129,Hotel
200,"Garden District, Ryerson",43.6571618,-79.37893709999999,Victoria's Secret,43.653205881191866,-79.38052200729167,Lingerie Store
201,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ted Baker,43.65284284567131,-79.38032491863406,Clothing Store
202,"Garden District, Ryerson",43.6571618,-79.37893709999999,Uncle Tetsu,43.65603138949496,-79.38350988129672,Café
203,"Garden District, Ryerson",43.6571618,-79.37893709999999,Bell Trinity Square,43.65347479872822,-79.38246987630343,Office
204,"Garden District, Ryerson",43.6571618,-79.37893709999999,Coco Fresh Tea & Juice,43.65865989038909,-79.38204032226335,Bubble Tea Shop
205,"Garden District, Ryerson",43.6571618,-79.37893709999999,lululemon athletica,43.653286200000004,-79.3807642,Clothing Store
206,"Garden District, Ryerson",43.6571618,-79.37893709999999,Fine Asian Bowl,43.65538660000001,-79.3803264,Vietnamese Restaurant
207,"Garden District, Ryerson",43.6571618,-79.37893709999999,Starbucks,43.65907956058055,-79.38056191501433,Coffee Shop
208,"Garden District, Ryerson",43.6571618,-79.37893709999999,Disney Store,43.654247999999995,-79.381232,Toy / Game Store
209,"Garden District, Ryerson",43.6571618,-79.37893709999999,Shisha&Co,43.6567479206269,-79.37433722726891,Smoke Shop
210,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ali Basha Cafè,43.65668970000001,-79.3754589,Hookah Bar
211,"Garden District, Ryerson",43.6571618,-79.37893709999999,Good Earth Coffeehouse,43.65685033174256,-79.37471866607666,Coffee Shop
212,"Garden District, Ryerson",43.6571618,-79.37893709999999,GoodLife Fitness Toronto Bell Trinity Centre,43.653436,-79.38231400000001,Gym
213,"Garden District, Ryerson",43.6571618,-79.37893709999999,Katsuya,43.65986035759321,-79.37878806223506,Japanese Restaurant
214,Glencairn,43.709577,-79.44507259999997,"R Bakery - Delicious Cakes, Breads",43.70741964331273,-79.44312584563261,Bakery
215,Glencairn,43.709577,-79.44507259999997,Miyako Sushi Restaurant,43.709111,-79.44393000000001,Japanese Restaurant
216,Glencairn,43.709577,-79.44507259999997,"Chalker's Pub, Billiards and Bistro",43.70574673487421,-79.44237750652644,Pub
217,Glencairn,43.709577,-79.44507259999997,Domino's Pizza,43.707170406048526,-79.44265804811249,Pizza Place
218,Glencairn,43.709577,-79.44507259999997,Fraserwood Park,43.71354951931429,-79.4424819946289,Park
